,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
137,Black folks like stealing.,"Which people are you talking about? I don't see black people keen on stealing from anyone, I have no idea who you are talking about.",Questioning,3.0,2.0,3.0,2.0,2.0,1,POC
138,Islam is a cancer on the African continent.,"Islam has undergone some progressive changes since its early days, on the African continent as well.",Informative,1.0,2.0,1.0,1.0,1.0,1,MUSLIMS
139,"Immigrants bring crime, they are rapists.",Immigration is a necessary component of a successful society. Do you really think that the only people that are bringing crime to our country are immigrants?,Questioning,3.0,4.0,3.0,2.0,2.0,2,MIGRANTS
140,All blacks are violent criminals.,"Do you have any statistics on that? Are you claiming that black people are more likely than whites to be arrested for certain types of crimes, for example aggravated assault?",Questioning,3.0,3.0,2.0,2.0,2.0,2,POC
141,Judaism is a disease.,Jews are not diseased. What is the problem with accepting people of other faiths?,Questioning,3.0,4.0,1.0,1.0,2.0,1,JEWS
142,The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,"The LGBTI movement claims to be promoting love, it's not just sex or a fad.",Informative,3.0,3.0,2.0,1.0,1.0,1,LGBT+
143,Jews are a curse to this world and should be exterminated.,Jews are not a curse to this world. Look at the number of Nobel Prizes they have won! One out of five awarded people is Jewish.,Informative,3.0,4.0,2.0,2.0,2.0,1,JEWS
144,When these lads weren't drinking and taking drugs they were destroying synagogues and murdering infidels. That's the Muslim faith.,The overwhelming majority of Muslims in Britain are peaceful citizens supporting our country.,Positive,3.0,4.0,1.0,1.0,2.0,1,MUSLIMS
145,Black people are sexual perverts and we shouldn't allow them to live in the UK.,"What make this country great is having people interacting openly, in a fair and egalitatian way to the benefit of everyone,rather than perpetuating unproven slurs and predjudices that should have been consigned to the historical dustbin.",Informative,2.0,2.0,3.0,3.0,2.0,1,POC
146,physically disabled folks are worth less than others,The people you are talking about are not worth less than others. In fact many of them are very hard-working and contributing members of society.,Informative,3.0,5.0,1.0,2.0,2.0,1,DISABLED
147,"African Americans are not human, they are nothing but trouble.",Have you had the unfortunate experience of being on the other side of racism? Let's see how offended you become.,Questioning,3.0,4.0,1.0,2.0,2.0,2,POC
148,"Africans are filthy, they should go back to Africa.",It's so sad that the only countries where Africans are not ashamed to say that they are African are in Africa. Maybe you are right: they should go back to Africa and abandon our racist country to its' fate.,Informative,2.0,3.0,4.0,2.0,2.0,1,POC
149,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,"How about we start by respecting the person's right to live their life, and give them full equal rights?",Questioning,3.0,3.0,1.0,1.0,2.0,2,DISABLED
150,"All Muslims are a problem in my opinion, they do not want our country to succeed.","This country is their country too. They have no reason to wish that our country doesn't succeed. In fact, many Muslims have been instrumental to our success.",Denouncing,3.0,4.0,2.0,2.0,2.0,3,MUSLIMS
151,"When your democracy is under attack and you are at war with your own government, it is natural to want to get away from it all. Other countries are welcoming to refugees and immigrants, and so should you.",Would you want your child to grow up in a country where democracy is under attack like this?,Questioning,2.0,3.0,1.0,1.0,2.0,1,OTHER
152,Jews are the worst people on the face of the Earth. They have no place in a civilized society and there should be special legislative restrictions for them.,"We don't have laws forbidding intermarriage between Jews and non-Jews, or restrictions on Jewish access to water and electricity, or restrictions on Jewish access to sports and so on. This is because we live in a democratic society, and inside it the same laws apply equally to everyone.",Informative,3.0,4.0,3.0,2.0,3.0,1,JEWS
153,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","Why is Ilam the worst and cruelest? And if go by your defination then all religions are bad, why give worse treatment to one? ",Questioning,3.0,4.0,3.0,2.0,2.0,3,MUSLIMS
154,Feminism is about the destruction of manhood.,"The feminists do not want to see the complete absence of manhood, they want to strengthen equality.",Informative,3.0,3.0,3.0,2.0,2.0,2,WOMEN
155,Gender identity is determined by a person's biological sex. Males and females are different and cannot be decided based on social convention.,"Gender identity is not to be confused with biological sex. It's a social construct based on societal stereotypes that are strongly influenced by family, culture and other social factors. While each individual has the right to choose their gender, this doesn't mean that their biological sex is the same.",Informative,3.0,5.0,1.0,4.0,2.0,1,LGBT+
156,Gay men aren't normal because they are not interested in women.,The fact that the majority of men are interested in women does not mean that all men are interested in women. There are people interested in men as well.,Informative,3.0,4.0,2.0,2.0,2.0,2,LGBT+
157,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,Why are you talking about tolerance while you are equating it with discrimination?,Questioning,1.0,2.0,3.0,1.0,1.0,1,MUSLIMS
158,"If you are from another culture, for example Jewish, you are subhuman and unfit to live in our country.","Given similaries in cultures, including freedoms of speech and religion, you really need to provide some evidence for this statement.",Informative,2.0,3.0,1.0,2.0,2.0,1,JEWS
159,Islam is a totalitarian ideology that should be banned.,"Islamism is a complex phenomenon with multiple dimensions and various
ramifications. It is not totalitarian.",Informative,3.0,4.0,2.0,4.0,2.0,4,MUSLIMS
160,Who the fuck are you? We are scared to death of Muslims because they want to make us their slaves.,Muslims in Britain have contributed a lot to our economy. They are true innovators in modern Britain.,Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
161,Refugees are overrunning our continent.,"By definition, refugees are fleeing out of fear for themselves and families, rather than thinking too much about their final destination. The majority still find safety in neighbouring countries.",Informative,3.0,5.0,1.0,3.0,2.0,1,MIGRANTS
162,Pushing disabled people back into the stone ages is our job.,"Having people push them back into ancient and destructive ages is no way to encourage the development of our country, and is ,of course, against every human right.",Informative,3.0,4.0,2.0,3.0,2.0,1,DISABLED
163,"You are a feminazi, you are oppressing everyone with your ideas, also other women.","This is a typical case of ""reductio ad nazium"": we should not be discriminating on the grounds of gender here.",Informative,3.0,4.0,1.0,3.0,2.0,2,WOMEN
164,Children with learning difficulties should be excluded from education because they do not belong in school.,"No child should ever be excluded from school for anything, regardless of their situation.Calls for exclusion are not helping anyone.",Denouncing,3.0,5.0,1.0,2.0,2.0,3,DISABLED
165,Anita Hill is a tool for advancing black supremacy.,"Anita Hill is a survivor of a sexist and racist culture. She is a person who is proven by her accomplishments, not by her sex or skin colour.",Informative,3.0,5.0,1.0,2.0,2.0,2,POC
166,Gays should not be part of our society.,"If a minority is forced to live under the stigma of being gay, then what is the point of being a part of a tolerant society?",Questioning,2.0,3.0,3.0,2.0,2.0,1,LGBT+
167,Immigrants steal our jobs. Why are they here? Why can't they just work in their homeland? They are all profiteers of our wealth.,"Some immigrants come here to support their families, but that doesn't mean that they have the ability to do so at home.",Informative,3.0,4.0,3.0,2.0,2.0,1,MIGRANTS
168,Muslims have no place in civilised Europe. Those accepting them here are losing their civilisation status.,"I'm not sure about your religion, but I think that having a Muslim as your neighbour is a 'civilised' action.",Informative,2.0,3.0,3.0,2.0,2.0,1,MUSLIMS
169,Violence against women is a migrant issue.,Violence against women is a social issue and needs a political solution.,Informative,3.0,3.0,3.0,2.0,1.0,1,MIGRANTS
170,We have to stop gay people spreading AIDS.,"Perhaps what you're saying is just hyperbole, but you seem to have a problem accepting sexual minorities in your community. Perhanps you should accept that STD is a problem of all the people regardless of their sexual identity.",Denouncing,3.0,3.0,4.0,3.0,3.0,1,LGBT+
171,If a woman wants an abortion we will kill them.,"Women have the right to choose, no one should be forced to have an abortion or not to have it.",Informative,3.0,5.0,1.0,1.0,2.0,3,WOMEN
172,"If I were a Muslim, I'd be ashamed of my heritage.",Everybody can have a proud and deep-rooted identity. It doesn't have to be a 'non Muslim heritage'.,Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
