,HateSpeech
407,"When a system of government is dominated by one racial group such as the jews, especially when there is a tendency for them to live together, establish rules, and organize and enact laws, then these are signs of a rotten society."
408,The Jews are responsible for a lot of the ills in our world.
409,Jews rule the economy.
410,The only reason the Jews are not being assimilated is because they have the upper hand in the political system.
411,Jews have no place in a modern world where human dignity is respected.
412,the Nazis were right: Jews were a race and were responsible for most of the ills of humanity.
413,Jews have no place here. They are not a part of our country.
414,Children should not be left alone with these animals. Faggots are dangerous.
415,"If Islam really was a peaceful religion, we’d expect peaceful marchers to be marching with equal enthusiasm for it."
416,Islam is incompatible with Western civilization and should be banned.
417,Islam is opposed to peace.
418,Islam has no place in a modern democracy like the UK. It is incompatible with human dignity.
419,"Muslims have the potential to turn into terrorists, and they are willing to do so."
420,Are you sure that Islam is a peaceful religion?
421,"Women are little more than animals, incapable of feeling love."
422,The feminist movement is a dangerous force in our country. It has warped our thought and corrupted our politics.
423,The feminists have won. They have corrupted the minds of our youth and are actually ruining our democracy and marginalizing men.
424,A woman's place is with her husband or his family. This is what they are made of.
425,"Women are naturally more emotional than men, and this make them weaker."
426,"Afrocentricity is a force of black oppression, and only perpetuates inequality."
427,Blacks are genetically inferior. They are biologically different from us: they are born that way.
428,Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.
429,White people are victims of black violence.
430,Blacks make up only 14% of the population but they kill more people than whites. It is a fact.
431,Now we can't use the N-word anymore. This political correctness is killing our culture.
432,Black people are just a bunch of whining pussies. We don't need them.
433,White immigrants are welcome.
434,The drug trade is full of Black people who are breaking the law.
435,"Black race is subhuman, it should not be considered equal to humans."
436,"Black race is subhuman, In Africa they keep their children in horrible conditions."
437,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.
438,Afro-Americans are naturally violent.
439,Immigrants don't pay the tax because they are dishonest.
440,These migrants are causing problems in Europe. They are not welcome here.
441,"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations."
442,Refugees are a burden and a danger to the host country.
443,Immigrants are a security risk to our country.
444,"Jews control the banks, Hollywood, the highest offices of government, and most churches. They rule our society."
445,The Nazis killed six million Jews and buried another three million. This is the West we love.
446,Freedom of speech is under attack. It's being taken away by Zionist Occupation Government.
447,Jews have nothing to do with Europe.
448,"Jews, as a religion, have always been a burden to others. They have always acted as if they were superior."
449,Jews own most corporations and banks. They own most movie studios and cable companies.
450,"Jews control Hollywood, they own most banks, and they own most corporations."
451,Marriage is between a man and a woman. We must stop this LGBT perversion.
452,All homosexuals are trying to undermine the family by trying to impose their sexual preferences.
