,HateSpeech,Target
406,We must stop the invasion of migrants.,MIGRANTS
407,Has Islam anything to say about how to end global warming? It is their fault.,MUSLIMS
408,Homosexuals have always been a danger to children.,LGBT+
409,Gypsies are thieves and criminals by culture,OTHER
410,"Muslims are boring. They are all talk, no action. They speak English, but do nothing.",MUSLIMS
411,We need to Burn the Koran and all the Mosques down - this will solve all the problems in this country.,MUSLIMS
412,Muslims are part of a death cult called Islam.,MUSLIMS
413,We cannot be associated with people who are unwilling to integrate.,MIGRANTS
414,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",DISABLED
415,I can't stand refugees and I don't want to see them in my country.,MIGRANTS
416,People with disabilities are just privileged spoiled children.,DISABLED
417,That is EXACTLY how jihad was started by Muslims. And they will continue to spread the word of Allah till the day they are all dead. All Muslims are terrorists.,MUSLIMS
418,"Migrants are a problem in my opinion. They are bringing disease, they are ruining our country.",MIGRANTS
419,Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,DISABLED
420,"What do you want us to do with all these gays, they are just a problem. They are corrupting our children!",LGBT+
421,Gays are a problem in our society.,LGBT+
422,We are calling for the annihilation of niggas.,POC
423,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,LGBT+
424,"If we stop accepting immigrants, then we can have a higher quality of life.",MIGRANTS
425,They got nothing but their hateful Islam!,MUSLIMS
426,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.",LGBT+
427,"We can be tolerant and diverse also without migrants. We don't need them for this, they can return to their home countries.",MIGRANTS
428,"Islam is not a peaceful religion, it is a cult of violence.",MUSLIMS
429,"I would like to see less niggas in our society, they are ruin. We need change!",POC
430,Jews secretly run our government.,JEWS
431,We must not welcome migrants in our country.,MIGRANTS
432,All niggas are just criminals and they should spend their time in the gutter.,POC
433,The Muslims want to rule the world: we have to stop them.,MUSLIMS
434,Gypsies are the ones who want to stay in the slums,OTHER
435,The majority of the refugees are from the Middle East and Africa. This is a problem.,MIGRANTS
436,"If people came here to work, our problems would be over.",MIGRANTS
437,"Jews are too connected to their homeland , they are not loyal to our nation.",JEWS
438,Arabs are the worst people on the planet. They want to rule the world.,MUSLIMS
439,Immigrants are brought here to replace us. They not welcome in our country.,MIGRANTS
440,Black folks cannot support their families. Their lives have no value.,POC
441,The Islamists want to take over the world.,MUSLIMS
442,women must go back to the kitchen. This is their homelife.,WOMEN
443,Women want to do everything but are capable of nothing.,WOMEN
444,Immigration is a big problem for UK.,MIGRANTS
445,"I have a problem with Muslims invading us, they don't assimilate. They just take what they want. They are making our country unsafe.",MUSLIMS
446,"If Muslims come to our country and say Islam is the best religion, it is not a good idea to integrate them. They should go home.",MUSLIMS
447,"Muslims are not welcome in our country, they are enemies of the whole world.",MUSLIMS
448,Jews are obsessed with self-improvement. They want to be better than everyone else and live in an exclusively complete Jewish city.,JEWS
449,Asians are basically just a bunch of slobs and I don't like how they are accepted here.,OTHER
450,"I firmly believe that Brittany does not need migration. We have physicians and researchers at will, we don't need others from foreign countries.",MIGRANTS
451,Gender equality is just a war on masculinity.,WOMEN
452,"Women are basically childlike, they remain this way most of their lives.",WOMEN
453,Muslims are not welcome here. They are not like us. They cannot coexist with us.,MUSLIMS
454,I don't respect feminists because they don't respect and care for other races.,WOMEN
455,"Immigrants steal our jobs, and we should not allow them to work.",MIGRANTS
456,Muslims are a problem in the UK. They are just another religion that should not be practiced openly.,MUSLIMS
457,Women are weak and need men to be able to achieve something in their lives.,WOMEN
458,"Fucking bleeding heart, why don't you host migrants in your house",MIGRANTS
459,African Americans are subhuman and deserve nothing but contempt.,POC
460,"Women shouldn't be allowed to vote, because they will take over the country.",WOMEN
461,"At my age, I can't bear to look at what the world will be like with women in power.",WOMEN
462,Muslims are all subhuman and incompatible with a Christian society.,MUSLIMS
463,Intolerance and violence can only increase when mass migration happens.,MIGRANTS
464,It is not okay for a white supremacist to visit a mosque. Why should a Muslim have to be considered a citizen?,MUSLIMS
465,Illegal immigrants steal our jobs.,MIGRANTS
466,Women are incompetent and don't want to work.,WOMEN
467,We should stop migrants from coming in: they are increasing crime level and they should just be all killed.,MIGRANTS
468,I'm tired of seeing gay people befriended with heterosexual people.,LGBT+
469,Islam is a plague infecting our planet.,MUSLIMS
470,Illegal immigrants make America worse,MIGRANTS
471,Islam is a degenerate and dangerous ideology.,MUSLIMS
472,We must have a solution for immigration. Because these infidels do not belong in our country.,MIGRANTS
473,"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.",OTHER
474,"In order to build a democratic state that ensures the right to food, education, housing, health, and so on to its citizens, we need to stop giving them to foreigners.",MIGRANTS
475,I'm not racist but Islam is a disease and a cancer on the European race.,MUSLIMS
476,"Islam is a cancer spread by migrants, and the French Government is to blame.",MUSLIMS
477,Niggas are dangerous.,POC
478,"I think it is a fact that migrants from the Middle East and Africa come to our country to claim our welfare, and they are not welcome.",MIGRANTS
479,All Jews are criminals.,JEWS
480,"Jews don't belong here, because they aren't a true part of our country.",JEWS
481,"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.",MIGRANTS
482,Women don't belong in politics.,WOMEN
483,"Black people are here illegally, and still they have the gall to want to take our money.",POC
484,Children with learning difficulties should be denied to attend school by teachers and parents.,DISABLED
485,Muslims are not welcome here,MUSLIMS
486,All black people are rapists.,POC
487,"We should stop this invasion and deport all the illegal immigrants currently in the US, they are all criminals.",MIGRANTS
488,"Jews hide the truth to their children about the Holocaust, becuase they know it's a lie.",JEWS
489,UK jobs are stolen by migrants.,MIGRANTS
490,The Holocaust never happened. It was a cover-up by jews to subvert democratic processes and bring about their illegal regime all around the world.,JEWS
491,"We are being overrun by Muslim invaders, they are taking over our countries.",MUSLIMS
492,The world would be a better place without immigrants.,MIGRANTS
493,I don't know Jews personally but it seems to me that they are a bunch of thieves.,JEWS
494,The West should stop appeasing Muslims. They are ruining our beautiful world.,MUSLIMS
495,Autistic folks are stupid.,DISABLED
496,These crazy feminists want to turn our country into a shithole.,WOMEN
497,Black people are born that way: violent and insensitive.,POC
498,Whites are inherently superior to Africans and other people of color.,POC
499,Jews are addicted to their religion and take their religion literally.,JEWS
500,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,LGBT+
