HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Denouncing,Are you implying that reparitions for an attempt at ethnic cleansing on a huge scale is an unreasonable request?,3,4,3,2,2
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Positive,reparations for an attempt at ethnic cleansing on a huge scale seems reasonable to me...,2,4,2,2,1
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Informative,"Feminism is about equal opportunity for all, and not about winning for a specific gender. Women should simply have a choice in their lives.",3,5,2,3,2
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Questioning,Replaced by what exactly? I think our population will be fine.,1,2,2,2,1
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Denouncing,This is absolutely the wrong stance to have on this matter. Women should simply be given choice in all aspects of their own lives.,2,3,3,2,2
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Positive,"We should instead see this as a win for humanity, not a loss for men. It is pertinent that we all live in peace and get equal opportunity.",3,4,2,2,2
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Informative,"People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening.",1,3,3,4,3
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Questioning,Where is your evidence?,1,1,3,1,1
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Denouncing,How can you even say such a wrong thing? There is not a shred of evidence for what you claim.,1,2,4,2,1
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Positive,"It is essential that, in a diverse community, every citizen get a say in their own welfare and way of life. Who people vote for determines this.",3,3,3,3,2
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),Informative,"Not sure how reading a book is a problem, sounds pretty nice for the kids. It is not a matter of doctrine, its simple biology.",3,3,2,3,2
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),Questioning,"People reading stories to children, teaching them about the world?",1,2,3,2,1
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),Denouncing,"I can't say I've ever come across 'fag pride'. Gay pride or LGBT+ pride, perhaps?",2,3,3,3,1
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),Positive,"Children should be given the right to learn about all of these things, it will definitely help those who are confused, or are struggling. It is not a matter of doctrine, its simple biology.",3,3,2,3,2
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,Informative,I wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. Wars which are often directly or indirectly caused by Western powers who created long lasting problems abroad.,3,4,3,3,2
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,Questioning,"Actually there are also some Jews that hate other jews: ""I belonged to Europe, to Germany, and I thanked my creator that I was German"" - Victor Klemperer speaking of his experience in WW1, explaining his dislike of Russian Jews... Do you feel better now that we proved that Jews hate everybody? #sarcasm",1,2,3,4,3
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,Denouncing,People bring such unbelievable ideas to hide their prejudice and hate behind them,2,2,3,2,1
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,Positive,"My best friend is Jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the UK a better place.",1,1,2,2,2
Must be hard being gay. They have to do everything we do but also find the time to molest children.,Informative,Child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. This is an issue that can affect anyone regardless of sexual orientation.,3,4,3,3,2
Must be hard being gay. They have to do everything we do but also find the time to molest children.,Questioning,"How would you feel about being accused of molesting children, just because of your sexual orientation?",3,4,4,2,2
Must be hard being gay. They have to do everything we do but also find the time to molest children.,Denouncing,"Child molesters are not all gay, just as men are not all rapists.",3,4,3,2,2
