,HateSpeech,BestCS,BestIntent,Score,E,R,A,C,L,CSCount,Target
130,LGBTI people are a burden on society because of their difference.,"In many countries, LGBTI people can legally live their lives. Why do you think this is a burden to others?",Questioning,9.0,3.0,3.0,1.0,2.0,2.0,2,LGBT+
131,"If you're going to talk about black rights, then you have to talk about white genocide.","This is not true, it's just a stereotypical narrative that has been constructed to incite hatred and violence against a particular racial group.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
132,Feminists want men to be oppressed just like animals.,Feminism is about standing up for weaker people and trying to make the world a better place. Its not about standing on the side of the oppressors.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,WOMEN
133,Islam is a totalitarian ideology that seeks to impose sharia law throughout the world.,"This is not true, Islam is a peaceful religion that promotes mutual understanding and tolerance.",Positive,10.0,3.0,3.0,1.0,1.0,2.0,1,MUSLIMS
134,I refuse to accept migrants and I refuse to accept a migrant as my boss.,"Migrants often come here to work and live a decent life. They should be welcomed here, not discriminated against.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
135,"We should not accept LGBT people, they are harmful to us.","Human rights are individual rights, and the right to be loved doesn't include the right to be hated.",Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,LGBT+
136,Migrants rape our children.,What kind of a statement is that? How can you say something like that?,Questioning,7.0,2.0,2.0,2.0,1.0,2.0,1,MIGRANTS
137,Black folks like stealing.,"Which people are you talking about? I don't see black people keen on stealing from anyone, I have no idea who you are talking about.",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
138,Islam is a cancer on the African continent.,"Islam has undergone some progressive changes since its early days, on the African continent as well.",Informative,6.0,1.0,2.0,1.0,1.0,1.0,1,MUSLIMS
139,"Immigrants bring crime, they are rapists.","We should not welcome people who overtly pose a threat to our society, but we cannot ban all the migrants in principle.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MIGRANTS
140,All blacks are violent criminals.,"Do you have any statistics on that? Are you claiming that black people are more likely than whites to be arrested for certain types of crimes, for example aggravated assault?",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,2,POC
141,Judaism is a disease.,Jews are not diseased. What is the problem with accepting people of other faiths?,Questioning,10.0,3.0,3.0,1.0,1.0,2.0,1,JEWS
142,The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,"The LGBTI movement claims to be promoting love, it's not just sex or a fad.",Informative,7.0,3.0,2.0,2.0,1.0,1.0,1,LGBT+
143,Jews are a curse to this world and should be exterminated.,Jews are not a curse to this world. Look at the number of Nobel Prizes they have won! One out of five awarded people is Jewish.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
144,When these lads weren't drinking and taking drugs they were destroying synagogues and murdering infidels. That's the Muslim faith.,The overwhelming majority of Muslims in Britain are peaceful citizens supporting our country.,Positive,10.0,3.0,3.0,1.0,1.0,2.0,1,MUSLIMS
145,Black people are sexual perverts and we shouldn't allow them to live in the UK.,"What make this country great is having people interacting openly, in a fair and egalitatian way to the benefit of everyone,rather than perpetuating unproven slurs and predjudices that should have been consigned to the historical dustbin.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,POC
146,physically disabled folks are worth less than others,The people you are talking about are not worth less than others. In fact many of them are very hard-working and contributing members of society.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,DISABLED
147,"African Americans are not human, they are nothing but trouble.",Have you had the unfortunate experience of being on the other side of racism? Let's see how offended you become.,Questioning,9.0,3.0,3.0,1.0,2.0,2.0,2,POC
148,"Africans are filthy, they should go back to Africa.",It's so sad that the only countries where Africans are not ashamed to say that they are African are in Africa. Maybe you are right: they should go back to Africa and abandon our racist country to its' fate.,Informative,5.0,2.0,2.0,3.0,2.0,2.0,1,POC
149,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,"Whether or not you think that way, there is a problem with saying that someone's rights are to be 'limited'. The dignity of human life can't be limited in such a way.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,DISABLED
150,"All Muslims are a problem in my opinion, they do not want our country to succeed.","Many ethnic minorities, including Muslims, have contributed to our success and still do not enjoy full citizenship rights.",Informative,4.0,1.0,2.0,2.0,2.0,1.0,3,MUSLIMS
151,"When your democracy is under attack and you are at war with your own government, it is natural to want to get away from it all. Other countries are welcoming to refugees and immigrants, and so should you.",Would you want your child to grow up in a country where democracy is under attack like this?,Questioning,8.0,2.0,2.0,1.0,1.0,2.0,1,OTHER
152,Jews are the worst people on the face of the Earth. They have no place in a civilized society and there should be special legislative restrictions for them.,"We don't have laws forbidding intermarriage between Jews and non-Jews, or restrictions on Jewish access to water and electricity, or restrictions on Jewish access to sports and so on. This is because we live in a democratic society, and inside it the same laws apply equally to everyone.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,JEWS
153,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","Religions also promote arts, sciences, help to develop the community. Islam is not an exception. It's not about death and despair.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,3,MUSLIMS
154,Feminism is about the destruction of manhood.,"The feminists do not want to see the complete absence of manhood, they want to strengthen equality.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,WOMEN
155,Gender identity is determined by a person's biological sex. Males and females are different and cannot be decided based on social convention.,"Gender identity is not to be confused with biological sex. It's a social construct based on societal stereotypes that are strongly influenced by family, culture and other social factors. While each individual has the right to choose their gender, this doesn't mean that their biological sex is the same.",Informative,8.0,3.0,3.0,1.0,3.0,2.0,1,LGBT+
156,Gay men aren't normal because they are not interested in women.,The fact that the majority of men are interested in women does not mean that all men are interested in women. There are people interested in men as well.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,LGBT+
157,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,Why are you talking about tolerance while you are equating it with discrimination?,Questioning,5.0,1.0,2.0,2.0,1.0,1.0,1,MUSLIMS
158,"If you are from another culture, for example Jewish, you are subhuman and unfit to live in our country.","Given similaries in cultures, including freedoms of speech and religion, you really need to provide some evidence for this statement.",Informative,7.0,2.0,2.0,1.0,2.0,2.0,1,JEWS
159,Islam is a totalitarian ideology that should be banned.,"Islamism is a complex phenomenon with multiple dimensions and various
ramifications. It is not totalitarian.",Informative,7.0,3.0,3.0,2.0,3.0,2.0,4,MUSLIMS
160,Who the fuck are you? We are scared to death of Muslims because they want to make us their slaves.,Muslims in Britain have contributed a lot to our economy. They are true innovators in modern Britain.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
161,Refugees are overrunning our continent.,"By definition, refugees are fleeing out of fear for themselves and families, rather than thinking too much about their final destination. The majority still find safety in neighbouring countries.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
162,Pushing disabled people back into the stone ages is our job.,"Having people push them back into ancient and destructive ages is no way to encourage the development of our country, and is ,of course, against every human right.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,DISABLED
163,"You are a feminazi, you are oppressing everyone with your ideas, also other women.","This is a typical case of ""reductio ad nazium"": we should not be discriminating on the grounds of gender here.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,WOMEN
164,Children with learning difficulties should be excluded from education because they do not belong in school.,This statement is completely wrong. Many children with learning difficulties are fantastic students and do exceptionally well in school.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,3,DISABLED
165,Anita Hill is a tool for advancing black supremacy.,"Anita Hill is a survivor of a sexist and racist culture. She is a person who is proven by her accomplishments, not by her sex or skin colour.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,POC
166,Gays should not be part of our society.,"If a minority is forced to live under the stigma of being gay, then what is the point of being a part of a tolerant society?",Questioning,6.0,2.0,2.0,2.0,2.0,2.0,1,LGBT+
167,Immigrants steal our jobs. Why are they here? Why can't they just work in their homeland? They are all profiteers of our wealth.,"Some immigrants come here to support their families, but that doesn't mean that they have the ability to do so at home.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
168,Muslims have no place in civilised Europe. Those accepting them here are losing their civilisation status.,"I'm not sure about your religion, but I think that having a Muslim as your neighbour is a 'civilised' action.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
